ID;Start;End;Experience
113376;1999-09-13;2000-12-11;91
113588;2017-07-17;2018-10-15;0
113784;2016-06-27;2017-09-25;1507
113791;2017-09-11;2018-12-10;0
113829;2016-05-09;2017-08-07;181
113867;2019-11-18;2021-02-15;0
114661;1994-08-09;1995-11-07;740
114766;1995-03-14;1996-06-11;640
114832;1991-02-04;1992-05-04;860
114851;1994-05-31;1995-08-29;980
115114;1989-07-13;1990-10-11;820
115121;1990-03-19;1991-06-17;870
115764;2012-01-02;2013-04-01;316
116002;2008-04-14;2009-07-13;117
116217;2001-09-10;2002-12-09;171
116242;2003-04-07;2004-07-05;758
116593;2010-11-02;2012-01-31;1300
116681;2008-11-18;2010-02-16;210
116707;2006-09-11;2007-12-10;140
117442;1999-12-16;2001-03-15;405
117442;2000-02-14;2001-05-14;264
117442;2012-09-17;2013-12-16;653
117442;2014-02-24;2015-05-25;3854
113025;2008-02-13;2009-05-14;318
114562;2005-05-09;2006-08-08;540
114772;2003-07-01;2004-09-29;640
115137;2001-01-09;2002-04-10;120
115451;2000-09-18;2001-12-18;1005
115534;2007-10-09;2009-01-07;175
116656;2003-09-29;2004-12-28;800
117442;2014-09-22;2016-01-22;405
117442;2015-05-04;2016-09-02;840
117442;2003-02-10;2004-06-11;8000
113086;2020-09-07;2022-01-08;1126
113389;2015-08-03;2016-12-03;91
113855;2017-06-19;2018-10-20;152
114659;1993-08-02;1994-12-03;410
115597;2008-07-08;2009-11-08;780
116183;2000-02-21;2001-06-23;308
117442;1995-10-24;1997-02-23;380
117442;2011-08-01;2012-12-01;654
112960;2019-01-28;2020-07-30;206
112982;2019-05-02;2020-11-01;0
113876;2019-02-25;2020-08-27;0
115306;2008-04-14;2009-10-15;1400
115456;2002-02-18;2003-08-21;1005
115685;2002-02-01;2003-08-04;920
115958;2009-08-03;2011-02-03;865
116280;1994-07-11;1996-01-11;1456
116436;2005-02-07;2006-08-10;102
117442;2010-11-15;2012-05-17;100
117442;1999-06-28;2000-12-28;405
117442;2011-08-01;2013-01-31;114
117442;2020-03-09;2021-09-09;535
112914;2015-04-15;2016-10-16;0
116147;2002-10-17;2004-04-19;865
116279;1993-04-01;1994-10-03;1145
117442;2012-04-11;2013-10-13;1247
116284;1994-12-01;1996-06-04;214
117442;2019-05-22;2020-11-23;123
110834;2019-07-08;2021-01-10;696
113749;2013-11-11;2015-05-17;964
113836;2017-08-07;2019-02-10;1638
114151;2016-11-14;2018-05-20;635
114177;2017-11-06;2019-05-12;310
114414;2016-04-05;2017-10-09;2359
115664;2008-10-07;2010-04-12;390
115772;2012-02-13;2013-08-18;403
116744;2009-01-28;2010-08-03;500
113008;2018-09-17;2020-03-23;208
113498;2009-01-19;2010-07-26;1347
115573;2008-08-18;2010-02-22;800
116153;1994-11-01;1996-05-07;1286
117442;2013-09-16;2015-03-23;417
113651;2002-09-16;2004-03-23;119
114366;2018-11-05;2020-05-12;120
114367;2019-02-04;2020-08-11;120
114407;2015-01-19;2016-07-26;3285
115659;2007-11-26;2009-06-02;390
116070;2013-10-01;2015-04-08;356
117442;2012-04-16;2013-10-22;0
117442;2017-08-07;2019-02-12;660
112954;2017-05-02;2018-11-08;0
113220;2011-06-06;2012-12-12;517
113973;2017-05-02;2018-11-08;514
114428;2017-06-06;2018-12-13;1180
114429;2017-06-06;2018-12-13;2920
114937;1990-03-06;1991-09-12;800
115374;1993-02-02;1994-08-11;2600
115730;2003-07-21;2005-01-26;98
116155;1999-10-05;2001-04-12;1286
116621;2005-02-01;2006-08-10;700
117442;1998-07-20;2000-01-26;312
110637;2017-06-19;2018-12-27;0
110642;2017-09-18;2019-03-28;0
110646;2016-02-01;2017-08-10;846
110801;2017-03-20;2018-09-27;0
110692;2018-04-16;2019-10-24;805
110705;2015-11-30;2017-06-08;951
110713;2017-04-03;2018-10-11;0
110730;2013-09-30;2015-04-09;0
110863;2017-05-15;2018-11-22;732
110868;2011-05-09;2012-11-15;788
111004;2011-09-12;2013-03-21;623
112942;2017-09-04;2019-03-14;0
112957;2018-04-16;2019-10-24;120
112969;2017-11-06;2019-05-16;594
112990;2017-06-19;2018-12-27;1094
113033;2017-10-02;2019-04-11;0
113036;2018-08-20;2020-02-27;0
113037;2018-04-16;2019-10-24;0
113118;2012-09-10;2014-03-20;0
113121;2013-05-20;2014-11-27;1733
113154;2013-09-16;2015-03-26;457
113155;2013-09-30;2015-04-09;304
113157;2013-10-14;2015-04-23;928
113160;2014-02-17;2015-08-27;305
113176;2014-10-13;2016-04-21;377
113185;2015-06-15;2016-12-22;1005
113194;2017-06-19;2018-12-27;0
113195;2017-06-19;2018-12-27;454
113235;2013-09-16;2015-03-26;957
113250;2015-02-09;2016-08-18;1703
113280;2014-02-17;2015-08-27;3176
113289;2014-12-01;2016-06-09;0
113313;2011-12-05;2013-06-13;0
113316;2012-01-23;2013-08-01;4912
113326;2013-05-20;2014-11-27;181
113354;2012-11-19;2014-05-29;184
113355;2012-12-03;2014-06-12;90
113360;2013-05-20;2014-11-27;378
113378;2015-06-15;2016-12-22;1683
113409;2011-08-22;2013-02-28;1112
113411;2011-11-21;2013-05-30;753
113423;2013-09-09;2015-03-19;0
113424;2014-06-16;2015-12-24;0
113482;2013-10-14;2015-04-23;399
113566;2011-05-16;2012-11-22;0
113583;2017-02-06;2018-08-16;1140
113607;2012-05-21;2013-11-28;180
113632;2014-12-01;2016-06-09;546
113643;2015-10-19;2017-04-27;1161
113751;2014-02-17;2015-08-27;1849
113766;2015-10-05;2017-04-13;0
113796;2018-10-08;2020-04-16;1743
113818;2017-03-06;2018-09-13;0
113838;2017-09-18;2019-03-28;830
113852;2017-07-17;2019-01-24;881
113905;2017-03-06;2018-09-13;1522
113951;2013-11-25;2015-06-04;1576
113995;2018-09-03;2020-03-12;0
114042;2017-10-02;2019-04-11;272
114052;2019-06-17;2020-12-24;1856
114073;2012-09-10;2014-03-20;140
114128;2015-10-19;2017-04-27;200
114130;2015-11-30;2017-06-08;200
114137;2017-05-15;2018-11-22;1080
114144;2015-09-21;2017-03-30;970
114164;2018-04-16;2019-10-24;90
114176;2017-09-18;2019-03-28;310
114197;2017-02-06;2018-08-16;777
114199;2017-07-17;2019-01-24;400
114208;2016-02-01;2017-08-10;400
114210;2016-06-13;2017-12-21;970
114221;2017-11-06;2019-05-16;380
114229;2018-10-08;2020-04-16;90
114271;2019-06-17;2020-12-24;7200
114279;2015-03-16;2016-09-22;678
114290;2017-04-03;2018-10-11;4000
114297;2018-01-15;2019-07-25;430
114317;2018-02-05;2019-08-15;90
114334;2017-09-04;2019-03-14;670
114398;2013-11-25;2015-06-04;230
114405;2000-08-07;2002-02-14;380
114445;2012-05-14;2013-11-21;175
114470;2016-06-13;2017-12-21;250
114509;2018-07-02;2020-01-09;150
114510;2018-07-02;2020-01-09;150
114511;2018-07-16;2020-01-23;820
114514;2018-10-08;2020-04-16;820
115056;2003-11-10;2005-05-19;0
115594;2008-06-23;2009-12-31;803
115631;2014-02-17;2015-08-27;1050
115632;2014-04-28;2015-11-05;1050
115948;2014-03-31;2015-10-08;780
116034;2014-05-19;2015-11-26;836
116069;2013-08-26;2015-03-05;356
116079;2015-03-16;2016-09-22;842
116313;2000-07-17;2002-01-24;113
116345;2007-09-03;2009-03-12;180
116706;2004-06-21;2005-12-29;140
117442;2013-09-09;2015-03-19;320
117442;1999-10-04;2001-04-12;405
117442;2009-02-23;2010-09-02;405
117442;2016-05-23;2017-11-30;270
117442;2015-10-05;2017-04-13;910
117442;2015-11-16;2017-05-25;790
117442;2014-10-13;2016-04-21;0
117442;2007-04-16;2008-10-23;0
117442;2014-02-17;2015-08-27;0
117442;2017-05-15;2018-11-22;6418
117442;2018-04-16;2019-10-24;1407
117442;2018-10-08;2020-04-16;112
117442;2013-12-02;2015-06-11;457
117442;2014-06-16;2015-12-24;143
117442;2015-11-16;2017-05-25;355
117442;2014-02-17;2015-08-27;439
117442;2015-09-21;2017-03-30;200
117442;2012-10-01;2014-04-10;237
117442;2018-09-03;2020-03-12;1374
117442;2015-11-16;2017-05-25;175
114653;1991-09-01;1993-03-11;0
115776;2001-07-18;2003-01-26;108
112974;2018-07-17;2020-01-26;1172
113076;2011-03-01;2012-09-09;1480
114690;1994-10-01;1996-04-11;210
115503;2007-09-05;2008-12-16;514
115900;2004-06-08;2005-09-19;2670
117442;2017-07-18;2018-10-29;1129
115196;2001-07-18;2002-10-30;908
115824;2012-04-02;2013-07-15;920
117442;2015-10-19;2017-01-30;493
110841;2020-03-16;2021-06-29;762
113020;2020-03-16;2021-06-29;0
113568;2011-08-01;2012-11-13;0
113661;2003-01-20;2004-05-04;0
113881;2020-03-16;2021-06-29;1295
114764;1994-05-17;1995-08-30;90
114910;1999-07-13;2000-10-25;310
116261;2007-09-10;2008-12-23;490
116487;2008-08-06;2009-11-19;820
117442;2020-03-16;2021-06-29;2096
113023;2007-11-19;2009-03-04;0
113038;2018-05-02;2019-08-16;0
113511;2011-07-11;2012-10-24;3016
114158;2017-11-06;2019-02-20;180
117442;2013-04-17;2014-08-01;320
112997;2018-06-18;2019-10-03;475
113264;2011-11-01;2013-02-15;0
113624;2014-07-01;2015-10-16;1369
114711;2008-02-11;2009-05-28;95
115184;1997-07-01;1998-10-16;780
116035;2014-06-10;2015-09-25;836
116439;2005-07-12;2006-10-27;102
117442;2014-07-01;2015-10-16;210
117442;2014-07-01;2015-10-16;100
117442;2015-04-13;2016-07-28;0
117442;2012-05-29;2013-09-13;640
117442;2011-01-10;2012-04-26;950
117442;2014-07-01;2015-10-16;354
110676;2016-02-15;2017-06-02;3428
110680;2016-09-05;2017-12-22;1679
112900;2013-07-22;2014-11-07;5505
112910;2010-05-03;2011-08-19;0
113168;2015-02-23;2016-06-10;2251
113178;2000-05-08;2001-08-24;303
113180;2014-03-03;2015-06-19;344
113252;2015-08-10;2016-11-25;622
113278;2013-08-05;2014-11-21;553
113284;2014-07-21;2015-11-06;0
113285;2014-08-11;2015-11-27;0
113349;2015-07-20;2016-11-04;593
113430;2010-05-03;2011-08-19;1722
113468;2014-08-11;2015-11-27;91
113481;2013-07-22;2014-11-07;862
113577;2015-06-15;2016-09-30;577
113647;2016-07-04;2017-10-20;1706
113713;2014-08-11;2015-11-27;0
113744;2013-08-05;2014-11-21;0
113769;2016-07-04;2017-10-20;0
113790;2017-07-10;2018-10-26;0
113892;2015-06-29;2017-02-01;0
113948;2013-04-08;2014-11-12;2124
113959;2015-02-23;2016-09-28;0
114094;2015-02-23;2016-09-28;365
114105;2012-02-06;2013-09-11;780
114126;2015-07-20;2017-02-22;314
114133;2016-04-04;2017-11-08;1080
114134;2016-09-05;2018-04-11;1080
114147;2016-09-05;2018-04-11;200
114240;2016-02-15;2017-09-20;670
114242;2016-04-04;2017-11-08;670
114267;2016-07-04;2018-02-07;600
114282;2015-08-10;2017-03-15;678
114287;2016-04-04;2017-11-08;430
114305;2015-06-15;2017-01-18;200
114409;2015-06-15;2017-01-18;6000
114423;2016-09-05;2018-04-11;1180
114459;2014-05-12;2016-07-03;382
114469;2016-07-04;2018-08-26;250
114731;2004-03-15;2006-05-07;90
115065;2001-07-16;2003-09-07;880
115157;1990-08-06;1992-09-27;240
115302;2007-07-09;2009-08-30;1400
115770;2012-02-13;2014-04-06;403
115771;2012-02-13;2014-04-06;403
115936;2013-04-08;2015-05-31;934
115953;2014-07-21;2016-09-11;865
116043;2015-02-23;2017-04-16;836
116076;2014-03-03;2016-04-24;842
116081;2015-04-27;2017-06-18;987
116084;2015-05-11;2017-07-02;987
116170;2004-07-05;2006-08-27;1286
117442;2013-06-03;2015-07-26;320
117442;2013-07-01;2015-08-23;560
117442;2016-07-04;2018-08-26;120
117442;2016-05-09;2018-07-01;0
117442;2015-06-29;2017-08-20;0
117442;2013-04-08;2015-05-31;0
117442;2013-05-27;2015-07-19;240
117442;2014-03-03;2016-04-24;1249
117442;2019-07-01;2021-08-22;344
